bw000000 EXTRACT
bw001438 YOU
bw001439 HAVE
bw001440 SAID
bw001441 ,
bw001442 IS
bw001443 GENERALLY
bw001444 JUST
bw001445 ,
bw001446 EXCEPT
bw001447 IN
bw001448 SUCH
bw001449 A
bw001450 MONSOON
bw001451 AS
bw001452 THE
bw001453 PRESENT
bw001454 ,
bw001455 WHEN
bw001456 THE
bw001457 FALL
bw001458 OF
bw001459 RAIN
bw001460 HAS
bw001461 BEEN
bw001462 SO
bw001463 UNCOMMONLY
bw001464 GREAT
bw001465 ,
bw001466 AS
bw001467 TO
bw001468 BREAK
bw001469 DOWN
bw001470 THE
bw001471 ENCLOSURES
bw001472 AND
bw001473 WASH
bw001474 AWAY
bw001475 THE
bw001476 SOIL
bw001477 IN
bw001478 MANY
bw001479 PLACES;
bw001480 -
bw001481 BUT
bw001482 WITH
bw001483 RESPECT
bw001484 TO
bw001485 MANURE
bw001486 AND
bw001487 DIGGING
bw001488 I
bw001489 AM
bw001490 ¬
bw001491 SORRY
bw001492 TO
bw001493 BE
bw001494 OBLIGED
bw001495 TO
bw001496 DIFFER
bw001497 .
bw001498 THE
bw001499 MANURE
bw001500 IN
bw001501 THIS
bw001502 COUNTRY
bw001503 IS
bw001504 CHIEFLY
bw001505 WOOD
bw001506 ASHES
bw001507 ,
bw001508 THE
bw001509 ONLY
bw001510 USEFUL
bw001511 PART
bw001512 OF
bw001513 WHICH
bw001514 IS
bw001515 THE
bw001516 VEGETABLE
bw001517 ALKALI
bw001518 ,
bw001519 WHICH
bw001520 BEING
bw001521 READILY
bw001522 DISSOLVED
bw001523 AND
bw001524 EVEN
bw001525 ATTRACTED
bw001526 BY
bw001527 WATER
bw001528 ,
bw001529 IS
bw001530 ENTIRELY
bw001531 WASHED
bw001532 OUT
bw001533 OF
bw001534 THE
bw001535 GROUND
bw001536 AFTER
bw001537 684
bw001538 FORT
bw001539 WILLIAM
bw001540 30TH
bw001541 JULY
bw001542 1790
bw001543 SUCCESSIVELY,
bw001544 TO
bw001545 THE
bw001546 SECOND
bw001547 PASS
bw001548 CALLED
bw001549 SINGHORI.
bw001550 THE
bw001551 OTHER
bw001552 WAY
bw001553 LAY
bw001554 OVER
bw001555 THE
bw001556 HILLS,
bw001557 THE
bw001558 FORMER
bw001559 HE
bw001560 RECOMMENDED
bw001561 WHICH
bw001562 OF
bw001563 COURSE
bw001564 WE
bw001565 ADOPTED
bw001566 --
bw001567 THE
bw001568 THIRD
bw001569 DAYS
bw001570 JOURNEY
bw001571 ABOUT
bw001572 8
bw001573 KOASS,
bw001574 WAS
bw001575 OVER
bw001576 A
bw001577 LARGE
bw001578 MOUNTAIN,
bw001579 WHEN
bw001580 WE
bw001581 DESCENDED
bw001582 INTO
bw001583 THE
bw001584 ONLY
bw001585 PLAIN
bw001586 ON
bw001587 OUR
bw001588 ROAD
bw001589 BETWEEN
bw001590 THE
bw001591 FIRST
bw001592 GAUL
bw001593 AND
bw001594 SERINAGUR,
bw001595 THE
bw001596 WIDEST
bw001597 PART
bw001598 OF
bw001599 WHICH
bw001600 WAS
bw001601 NEAR
bw001602 A
bw001603 VILLAGE
bw001604 CALLED
bw001605 BITEATE,
bw001606 WHERE
bw001607 IT
bw001608 MIGHT
bw001609 BE
bw001610 ABOUT
bw001611 A
bw001612 MILE
bw001613 ACROSS
bw001614 THE
bw001615 RAM
bw001616 GONGA,
bw001617 A
bw001618 BEAUTIFUL
bw001619 RIVER
bw001620 THAT
bw001621 RUNS
bw001622 THRO
bw001623 THIS
bw001624 VALLEY.
bw001625 OUR
bw001626 TRACT
bw001627 THIS
bw001628 DAY
bw001629 LAY
bw001630 FREQUENTLY
bw001631 UP
bw001632 ALMOST
bw001633 PERPENDICULAR
bw001634 ROCKS
bw001635 OR
bw001636 ON
bw001637 THE
bw001638 THE
bw001639 EDGES
bw001640 OF
bw001641 VERY
bw001642 STEEP
bw001643 PRECIPICE
bw001644 OUR
bw001645 FOURTH
bw001646 AND
bw001647 FIFTH
bw001648 DAYS
bw001649 WERE
bw001650 SPENT
bw001651 IN
bw001652 ASCENDING
bw001653 HILLS
bw001654 ABOVE
bw001655 HILLS
bw001656 TILL
bw001657 WE
bw001658 REACHED
bw001659 A
bw001660 MOUNTAINOUS
bw001661 RIDGE
bw001662 OF
bw001663 GREAT
bw001664 HEIGHT
bw001665 NAMED
bw001666 SALLARAMUNDA,
bw001667 HERE
bw001668 WE
bw001669 FOUND
bw001670 A
bw001671 SORT
bw001672 OF
bw001673 STONE
bw001674 HOUSE
bw001675 CLOSE
bw001676 UNDER
bw001677 A
bw001678 ROCK
bw001679 BUILT
bw001680 BY
bw001681 THE
bw001682 RAJAH
bw001683 FOR
